respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.03794297,0.11300019
26708,0.17587149,0.057221096
26709,0.15206432,0.8526923
26710,0.700596,0.8373116
26711,0.19005117,0.44401506
26712,0.6697577,0.977652
26713,0.46170437,0.7717249
26714,0.08063757,0.085927
26715,0.025221232,0.0424465
26716,0.11885043,0.9133945
26717,0.0056653367,0.43813774
26718,0.19212803,0.6418564
26719,0.014776359,0.97525996
26720,0.040871765,0.31612733
26721,0.5559331,0.6211324
26722,0.013260286,0.037701234
26723,0.62921256,0.94140977
26724,0.12243203,0.8082335
26725,0.0876308,0.047636393
26726,0.030600715,0.01695369
26727,0.34314322,0.9033663
26728,0.18524718,0.40036595
26729,0.8080028,0.9440032
26730,0.060166653,0.14592257
26731,0.009093485,0.19863053
26732,0.040955592,0.055969175
26733,0.9864413,0.9794638
26734,0.79646313,0.28560978
26735,0.096765935,0.35005912
26736,0.04079568,0.12960252
26737,0.046842296,0.048482064
26738,0.4991791,0.7101306
26739,0.046020597,0.08676937
26740,0.12343182,0.11048553
26741,0.29903018,0.9261785
26742,0.1056406,0.3963827
26743,0.039321315,0.42836392
26744,0.08982637,0.89080405
26745,0.26842287,0.93392074
26746,0.1371573,0.31792977
26747,0.17518775,0.16881163
26748,0.13051398,0.024083117
26749,0.050480127,0.8914973
26750,0.71623856,0.9077345
26751,0.4093354,0.74385035
26752,0.06925132,0.087691516
26753,0.103931405,0.48821273
26754,0.04618332,0.53226924
26755,0.06829335,0.56667626
26756,0.021962829,0.010851626
26757,0.46202138,0.5020532
26758,0.667965,0.9546828
26759,0.028114852,0.16910413
26760,0.01989822,0.07447805
26761,0.47713307,0.6652828
26762,0.1881455,0.83330786
26763,0.84856105,0.9154696
26764,0.9714196,0.96357936
26765,0.02768852,0.84666187
26766,0.031674508,0.2227113
26767,0.89666075,0.6824849
26768,0.007053692,0.34579012
26769,0.120048925,0.20001434
26770,0.060927376,0.49659395
26771,0.02675063,0.10446797
26772,0.028501984,0.59650755
26773,0.014055246,0.23618388
26774,0.008810097,0.6364686
